A,B,Addition,Subtraction,Multiplication,Division,Sin(Addition),Cos(Addition),Sqrt(Addition),2^Addition,Log(Addition),ODD_OR_EVEN(CEIL(A+B))
-6.72,-8.35,-15.07,1.63,56.11,0.80,-0.60,-0.80,-1.00,0.00,-1.00,Odd
8.16,-3.28,4.88,11.44,-26.76,-2.49,-0.99,0.17,2.21,29.45,0.69,Odd
-6.24,-0.31,-6.55,-5.93,1.93,20.13,-0.26,0.96,-1.00,0.01,-1.00,Even
-7.2,-2.63,-9.83,-4.57,18.94,2.74,0.39,-0.92,-1.00,0.00,-1.00,Odd
4.59,5.46,10.05,-0.87,25.06,0.84,-0.59,-0.81,3.17,1060.11,1.00,Odd
-1.43,-9.61,-11.04,8.18,13.74,0.15,1.00,0.04,-1.00,0.00,-1.00,Odd
0.87,2.35,3.22,-1.48,2.04,0.37,-0.08,-1.00,1.79,9.32,0.51,Even
8.14,6.44,14.58,1.70,52.42,1.26,0.90,-0.43,3.82,24491.61,1.16,Odd
-1.21,-9.29,-10.50,8.08,11.24,0.13,0.88,-0.48,-1.00,0.00,-1.00,Even
-4.21,-2.03,-6.24,-2.18,8.55,2.07,0.04,1.00,-1.00,0.01,-1.00,Even
-8.5,1.12,-7.38,-9.62,-9.52,-7.59,-0.89,0.46,-1.00,0.01,-1.00,Odd
-1.74,-0.55,-2.29,-1.19,0.96,3.16,-0.75,-0.66,-1.00,0.20,-1.00,Even
8.38,6.89,15.27,1.49,57.74,1.22,0.42,-0.91,3.91,39511.91,1.18,Even
-3.13,-1.76,-4.89,-1.37,5.51,1.78,0.98,0.18,-1.00,0.03,-1.00,Even
5.04,-3.56,1.48,8.60,-17.94,-1.42,1.00,0.09,1.22,2.79,0.17,Even
5.78,4.45,10.23,1.33,25.72,1.30,-0.72,-0.69,3.20,1200.98,1.01,Odd
-5.12,-7.12,-12.24,2.00,36.45,0.72,0.32,0.95,-1.00,0.00,-1.00,Even
6.97,-7.12,-0.15,14.09,-49.63,-0.98,-0.15,0.99,-1.00,0.90,-1.00,Even
0.79,-0.33,0.46,1.12,-0.26,-2.39,0.44,0.90,0.68,1.38,-0.34,Odd
4.31,3.41,7.72,0.90,14.70,1.26,0.99,0.13,2.78,210.84,0.89,Even
-9.8,1.77,-8.03,-11.57,-17.35,-5.54,-0.98,-0.18,-1.00,0.00,-1.00,Even
-9.35,2.19,-7.16,-11.54,-20.48,-4.27,-0.77,0.64,-1.00,0.01,-1.00,Odd
-1.1,0.11,-0.99,-1.21,-0.12,-10.00,-0.84,0.55,-1.00,0.50,-1.00,Even
7.47,7.61,15.08,-0.14,56.85,0.98,0.59,-0.81,3.88,34636.37,1.18,Even
0.92,9.07,9.99,-8.15,8.34,0.10,-0.54,-0.84,3.16,1016.93,1.00,Even
1.49,3.91,5.40,-2.42,5.83,0.38,-0.77,0.63,2.32,42.22,0.73,Even
2.41,-8.75,-6.34,11.16,-21.09,-0.28,-0.06,1.00,-1.00,0.01,-1.00,Even
7.84,-0.03,7.81,7.87,-0.24,-261.33,1.00,0.04,2.79,224.41,0.89,Even
8.49,2.52,11.01,5.97,21.39,3.37,-1.00,0.01,3.32,2062.24,1.04,Even
6.48,2.64,9.12,3.84,17.11,2.45,0.30,-0.95,3.02,556.41,0.96,Even
-1.1,4.86,3.76,-5.96,-5.35,-0.23,-0.58,-0.81,1.94,13.55,0.58,Even
1.7,2.47,4.17,-0.77,4.20,0.69,-0.86,-0.52,2.04,18.00,0.62,Odd
7.03,8.3,15.33,-1.27,58.35,0.85,0.37,-0.93,3.92,41189.81,1.19,Even
8.62,4.6,13.22,4.02,39.65,1.87,0.61,0.79,3.64,9541.50,1.12,Even
8.6,-8.92,-0.32,17.52,-76.71,-0.96,-0.31,0.95,-1.00,0.80,-1.00,Even
9.08,9.05,18.13,0.03,82.17,1.00,-0.66,0.75,4.26,286862.53,1.26,Odd
7.76,-5.14,2.62,12.90,-39.89,-1.51,0.50,-0.87,1.62,6.15,0.42,Odd
7.95,-8.62,-0.67,16.57,-68.53,-0.92,-0.62,0.78,-1.00,0.63,-1.00,Even
2.15,-4.23,-2.08,6.38,-9.09,-0.51,-0.87,-0.49,-1.00,0.24,-1.00,Even
-9.66,7.56,-2.10,-17.22,-73.03,-1.28,-0.86,-0.50,-1.00,0.23,-1.00,Even
3.17,8.32,11.49,-5.15,26.37,0.38,-0.88,0.47,3.39,2876.30,1.06,Even
5.04,-3.98,1.06,9.02,-20.06,-1.27,0.87,0.49,1.03,2.08,0.03,Even
9.93,3.69,13.62,6.24,36.64,2.69,0.87,0.49,3.69,12590.08,1.13,Even
-8.74,9.51,0.77,-18.25,-83.12,-0.92,0.70,0.72,0.88,1.71,-0.11,Odd
2.48,-5.94,-3.46,8.42,-14.73,-0.42,0.31,-0.95,-1.00,0.09,-1.00,Odd
-5.92,-6.33,-12.25,0.41,37.47,0.94,0.31,0.95,-1.00,0.00,-1.00,Even
-9.54,4.64,-4.90,-14.18,-44.27,-2.06,0.98,0.19,-1.00,0.03,-1.00,Even
-9.02,9.83,0.81,-18.85,-88.67,-0.92,0.72,0.69,0.90,1.75,-0.09,Odd
-9.49,9.01,-0.48,-18.50,-85.50,-1.05,-0.46,0.89,-1.00,0.72,-1.00,Even
2.04,2.36,4.40,-0.32,4.81,0.86,-0.95,-0.31,2.10,21.11,0.64,Odd
3.5,5.5,9.00,-2.00,19.25,0.64,0.41,-0.91,3.00,512.00,0.95,Odd
7.99,-6.31,1.68,14.30,-50.42,-1.27,0.99,-0.11,1.30,3.20,0.23,Even
-5.82,6.65,0.83,-12.47,-38.70,-0.88,0.74,0.67,0.91,1.78,-0.08,Odd
-6.3,-5.49,-11.79,-0.81,34.59,1.15,0.70,0.71,-1.00,0.00,-1.00,Odd
1.85,-3.89,-2.04,5.74,-7.20,-0.48,-0.89,-0.45,-1.00,0.24,-1.00,Even
6.5,4.59,11.09,1.91,29.84,1.42,-1.00,0.09,3.33,2179.83,1.04,Even
-1.56,-2.71,-4.27,1.15,4.23,0.58,0.90,-0.43,-1.00,0.05,-1.00,Even
1.04,-2.23,-1.19,3.27,-2.32,-0.47,-0.93,0.37,-1.00,0.44,-1.00,Odd
9.49,-8.34,1.15,17.83,-79.15,-1.14,0.91,0.41,1.07,2.22,0.06,Even
-4.47,7.68,3.21,-12.15,-34.33,-0.58,-0.07,-1.00,1.79,9.25,0.51,Even
-0.09,-7.73,-7.82,7.64,0.70,0.01,-1.00,0.03,-1.00,0.00,-1.00,Odd
6.12,2.63,8.75,3.49,16.10,2.33,0.62,-0.78,2.96,430.54,0.94,Odd
1.69,9.52,11.21,-7.83,16.09,0.18,-0.98,0.21,3.35,2368.90,1.05,Even
0.24,4.21,4.45,-3.97,1.01,0.06,-0.97,-0.26,2.11,21.86,0.65,Odd
9.39,3.26,12.65,6.13,30.61,2.88,0.08,1.00,3.56,6427.31,1.10,Odd
-4.61,6.97,2.36,-11.58,-32.13,-0.66,0.70,-0.71,1.54,5.13,0.37,Odd
4.99,-8.26,-3.27,13.25,-41.22,-0.60,0.13,-0.99,-1.00,0.10,-1.00,Odd
-0.22,9.8,9.58,-10.02,-2.16,-0.02,-0.15,-0.99,3.10,765.36,0.98,Even
7.01,-0.97,6.04,7.98,-6.80,-7.23,-0.24,0.97,2.46,65.80,0.78,Odd
-8.03,3.09,-4.94,-11.12,-24.81,-2.60,0.97,0.23,-1.00,0.03,-1.00,Even
-4.5,4.41,-0.09,-8.91,-19.85,-1.02,-0.09,1.00,-1.00,0.94,-1.00,Even
3.2,-7.32,-4.12,10.52,-23.42,-0.44,0.83,-0.56,-1.00,0.06,-1.00,Even
-0.99,4.61,3.62,-5.60,-4.56,-0.21,-0.46,-0.89,1.90,12.30,0.56,Even
8.82,-3.52,5.30,12.34,-31.05,-2.51,-0.83,0.55,2.30,39.40,0.72,Even
4.6,4.24,8.84,0.36,19.50,1.08,0.55,-0.83,2.97,458.25,0.95,Odd
6.55,-1.06,5.49,7.61,-6.94,-6.18,-0.71,0.70,2.34,44.94,0.74,Even
4.66,-4.36,0.30,9.02,-20.32,-1.07,0.30,0.96,0.55,1.23,-0.52,Odd
7.87,0.89,8.76,6.98,7.00,8.84,0.62,-0.79,2.96,433.53,0.94,Odd
8.19,6.45,14.64,1.74,52.83,1.27,0.88,-0.48,3.83,25531.66,1.17,Odd
8.57,-9.44,-0.87,18.01,-80.90,-0.91,-0.76,0.64,-1.00,0.55,-1.00,Even
7.48,4.89,12.37,2.59,36.58,1.53,-0.20,0.98,3.52,5293.48,1.09,Odd
-6.9,-2.29,-9.19,-4.61,15.80,3.01,-0.23,-0.97,-1.00,0.00,-1.00,Odd
1.72,3.75,5.47,-2.03,6.45,0.46,-0.73,0.69,2.34,44.32,0.74,Even
-0.45,-6.23,-6.68,5.78,2.80,0.07,-0.39,0.92,-1.00,0.01,-1.00,Even
-0.93,-0.86,-1.79,-0.07,0.80,1.08,-0.98,-0.22,-1.00,0.29,-1.00,Odd
9,-1.63,7.37,10.63,-14.67,-5.52,0.89,0.47,2.71,165.42,0.87,Even
-1.05,7.45,6.40,-8.50,-7.82,-0.14,0.12,0.99,2.53,84.45,0.81,Odd
-7.59,-3.48,-11.07,-4.11,26.41,2.18,1.00,0.07,-1.00,0.00,-1.00,Odd
-8.68,6.62,-2.06,-15.30,-57.46,-1.31,-0.88,-0.47,-1.00,0.24,-1.00,Even
4.18,-8.54,-4.36,12.72,-35.70,-0.49,0.94,-0.35,-1.00,0.05,-1.00,Even
7.67,4.98,12.65,2.69,38.20,1.54,0.08,1.00,3.56,6427.31,1.10,Odd
-9.2,-8.85,-18.05,-0.35,81.42,1.04,0.72,0.70,-1.00,0.00,-1.00,Even
-5.39,2.1,-3.29,-7.49,-11.32,-2.57,0.15,-0.99,-1.00,0.10,-1.00,Odd
-2.06,3.82,1.76,-5.88,-7.87,-0.54,0.98,-0.19,1.33,3.39,0.25,Even
3.87,-2.32,1.55,6.19,-8.98,-1.67,1.00,0.02,1.24,2.93,0.19,Even
-3.39,-9.12,-12.51,5.73,30.92,0.37,0.06,1.00,-1.00,0.00,-1.00,Even
2.71,-3.09,-0.38,5.80,-8.37,-0.88,-0.37,0.93,-1.00,0.77,-1.00,Even
8.62,9.45,18.07,-0.83,81.46,0.91,-0.70,0.71,4.25,275176.93,1.26,Odd
-0.43,-3.03,-3.46,2.60,1.30,0.14,0.31,-0.95,-1.00,0.09,-1.00,Odd
-4.8,6.73,1.93,-11.53,-32.30,-0.71,0.94,-0.35,1.39,3.81,0.29,Even
9,-3.1,5.90,12.10,-27.90,-2.90,-0.37,0.93,2.43,59.71,0.77,Even
-9.87,-3.18,-13.05,-6.69,31.39,3.10,-0.46,0.89,-1.00,0.00,-1.00,Odd
-5.24,-3.03,-8.27,-2.21,15.88,1.73,-0.91,-0.40,-1.00,0.00,-1.00,Even
-1.27,-5.41,-6.68,4.14,6.87,0.23,-0.39,0.92,-1.00,0.01,-1.00,Even
2.47,-5.28,-2.81,7.75,-13.04,-0.47,-0.33,-0.95,-1.00,0.14,-1.00,Even
8.67,-8.84,-0.17,17.51,-76.64,-0.98,-0.17,0.99,-1.00,0.89,-1.00,Even
7.33,-2.28,5.05,9.61,-16.71,-3.21,-0.94,0.33,2.25,33.13,0.70,Even
-7.35,-7,-14.35,-0.35,51.45,1.05,-0.98,-0.21,-1.00,0.00,-1.00,Even
3.75,1.75,5.50,2.00,6.56,2.14,-0.71,0.71,2.35,45.25,0.74,Even
3.94,2.47,6.41,1.47,9.73,1.60,0.13,0.99,2.53,85.04,0.81,Odd
4.93,-6.34,-1.41,11.27,-31.26,-0.78,-0.99,0.16,-1.00,0.38,-1.00,Odd
-4.58,-9.24,-13.82,4.66,42.32,0.50,-0.95,0.31,-1.00,0.00,-1.00,Odd
3.99,5.75,9.74,-1.76,22.94,0.69,-0.31,-0.95,3.12,855.13,0.99,Even
4.5,-9.38,-4.88,13.88,-42.21,-0.48,0.99,0.17,-1.00,0.03,-1.00,Even
-3.59,-3.91,-7.50,0.32,14.04,0.92,-0.94,0.35,-1.00,0.01,-1.00,Odd
-4.45,9.17,4.72,-13.62,-40.81,-0.49,-1.00,0.01,2.17,26.35,0.67,Odd
-4.15,2.64,-1.51,-6.79,-10.96,-1.57,-1.00,0.06,-1.00,0.35,-1.00,Odd
5.68,7.81,13.49,-2.13,44.36,0.73,0.80,0.60,3.67,11505.21,1.13,Even
2.02,3.19,5.21,-1.17,6.44,0.63,-0.88,0.48,2.28,37.01,0.72,Even
9.8,7.88,17.68,1.92,77.22,1.24,-0.92,0.39,4.20,209995.66,1.25,Even
3.74,7.99,11.73,-4.25,29.88,0.47,-0.74,0.67,3.42,3396.89,1.07,Even
-4.41,8.93,4.52,-13.34,-39.38,-0.49,-0.98,-0.19,2.13,22.94,0.66,Odd
1,3.18,4.18,-2.18,3.18,0.31,-0.86,-0.51,2.04,18.13,0.62,Odd
-3.23,2.33,-0.90,-5.56,-7.53,-1.39,-0.78,0.62,-1.00,0.54,-1.00,Even
2.78,-8.45,-5.67,11.23,-23.49,-0.33,0.58,0.82,-1.00,0.02,-1.00,Odd
-0.52,3.28,2.76,-3.80,-1.71,-0.16,0.37,-0.93,1.66,6.77,0.44,Odd
-3.67,-2.21,-5.88,-1.46,8.11,1.66,0.39,0.92,-1.00,0.02,-1.00,Odd
-8.95,-1.44,-10.39,-7.51,12.89,6.22,0.82,-0.57,-1.00,0.00,-1.00,Even
9.36,-2.47,6.89,11.83,-23.12,-3.79,0.57,0.82,2.62,118.60,0.84,Odd
-5.4,1.74,-3.66,-7.14,-9.40,-3.10,0.50,-0.87,-1.00,0.08,-1.00,Odd
7.63,6.1,13.73,1.53,46.54,1.25,0.92,0.40,3.71,13587.57,1.14,Even
7.04,3.95,10.99,3.09,27.81,1.78,-1.00,-0.01,3.32,2033.85,1.04,Odd
-5.71,-4.45,-10.16,-1.26,25.41,1.28,0.67,-0.74,-1.00,0.00,-1.00,Even
1.63,5.76,7.39,-4.13,9.39,0.28,0.89,0.45,2.72,167.73,0.87,Even
-0.62,5.44,4.82,-6.06,-3.37,-0.11,-0.99,0.11,2.20,28.25,0.68,Odd
4.33,-8.8,-4.47,13.13,-38.10,-0.49,0.97,-0.24,-1.00,0.05,-1.00,Even
4.3,-3.62,0.68,7.92,-15.57,-1.19,0.63,0.78,0.82,1.60,-0.17,Odd
-7.97,-1.62,-9.59,-6.35,12.91,4.92,0.16,-0.99,-1.00,0.00,-1.00,Odd
4.52,9.68,14.20,-5.16,43.75,0.47,1.00,-0.06,3.77,18820.27,1.15,Odd
-2.99,1.22,-1.77,-4.21,-3.65,-2.45,-0.98,-0.20,-1.00,0.29,-1.00,Odd
0.97,0.52,1.49,0.45,0.50,1.87,1.00,0.08,1.22,2.81,0.17,Even
-4.61,-5.1,-9.71,0.49,23.51,0.90,0.28,-0.96,-1.00,0.00,-1.00,Odd
3.09,8.68,11.77,-5.59,26.82,0.36,-0.71,0.70,3.43,3492.39,1.07,Even
-6.18,4.33,-1.85,-10.51,-26.76,-1.43,-0.96,-0.28,-1.00,0.28,-1.00,Odd
5.87,8.43,14.30,-2.56,49.48,0.70,0.99,-0.16,3.78,20171.07,1.16,Odd
6.7,-5.52,1.18,12.22,-36.98,-1.21,0.92,0.38,1.09,2.27,0.07,Even
8.61,6.3,14.91,2.31,54.24,1.37,0.72,-0.70,3.86,30786.28,1.17,Odd
1.36,3.4,4.76,-2.04,4.62,0.40,-1.00,0.05,2.18,27.10,0.68,Odd
-6.22,4.54,-1.68,-10.76,-28.24,-1.37,-0.99,-0.11,-1.00,0.31,-1.00,Odd
1.29,9.54,10.83,-8.25,12.31,0.14,-0.99,-0.16,3.29,1820.35,1.03,Odd
-7.41,-4.07,-11.48,-3.34,30.16,1.82,0.88,0.47,-1.00,0.00,-1.00,Odd
2.64,-6,-3.36,8.64,-15.84,-0.44,0.22,-0.98,-1.00,0.10,-1.00,Odd
5.96,8.35,14.31,-2.39,49.77,0.71,0.99,-0.17,3.78,20311.37,1.16,Odd
-8.95,-1.45,-10.40,-7.50,12.98,6.17,0.83,-0.56,-1.00,0.00,-1.00,Even
0.05,2.89,2.94,-2.84,0.14,0.02,0.20,-0.98,1.71,7.67,0.47,Odd
7.24,6.88,14.12,0.36,49.81,1.05,1.00,0.02,3.76,17805.06,1.15,Odd
-2.72,-9.04,-11.76,6.32,24.59,0.30,0.72,0.69,-1.00,0.00,-1.00,Odd
-3.97,7.49,3.52,-11.46,-29.74,-0.53,-0.37,-0.93,1.88,11.47,0.55,Even
-3.8,-1.38,-5.18,-2.42,5.24,2.75,0.89,0.45,-1.00,0.03,-1.00,Odd
-5.64,5.48,-0.16,-11.12,-30.91,-1.03,-0.16,0.99,-1.00,0.90,-1.00,Even
4.75,8.89,13.64,-4.14,42.23,0.53,0.88,0.48,3.69,12765.83,1.13,Even
-5.04,-9.88,-14.92,4.84,49.80,0.51,-0.71,-0.71,-1.00,0.00,-1.00,Even
6.51,6.8,13.31,-0.29,44.27,0.96,0.68,0.74,3.65,10155.69,1.12,Even
1.43,8.28,9.71,-6.85,11.84,0.17,-0.28,-0.96,3.12,837.53,0.99,Even
-7.01,1.15,-5.86,-8.16,-8.06,-6.10,0.41,0.91,-1.00,0.02,-1.00,Odd
3.14,2.34,5.48,0.80,7.35,1.34,-0.72,0.69,2.34,44.63,0.74,Even
-1.51,-7.58,-9.09,6.07,11.45,0.20,-0.33,-0.94,-1.00,0.00,-1.00,Odd
-5.84,3.27,-2.57,-9.11,-19.10,-1.79,-0.54,-0.84,-1.00,0.17,-1.00,Even
-5.25,7.17,1.92,-12.42,-37.64,-0.73,0.94,-0.34,1.39,3.78,0.28,Even
9.53,-8.23,1.30,17.76,-78.43,-1.16,0.96,0.27,1.14,2.46,0.11,Even
-3.29,1.49,-1.80,-4.78,-4.90,-2.21,-0.97,-0.23,-1.00,0.29,-1.00,Odd
6.4,-2.02,4.38,8.42,-12.93,-3.17,-0.95,-0.33,2.09,20.82,0.64,Odd
-3.15,-0.63,-3.78,-2.52,1.98,5.00,0.60,-0.80,-1.00,0.07,-1.00,Odd
-0.92,6.5,5.58,-7.42,-5.98,-0.14,-0.65,0.76,2.36,47.84,0.75,Even
0.49,9.37,9.86,-8.88,4.59,0.05,-0.42,-0.91,3.14,929.30,0.99,Even
7.3,-7.97,-0.67,15.27,-58.18,-0.92,-0.62,0.78,-1.00,0.63,-1.00,Even
8.24,-6.92,1.32,15.16,-57.02,-1.19,0.97,0.25,1.15,2.50,0.12,Even
6.02,0.73,6.75,5.29,4.39,8.25,0.45,0.89,2.60,107.63,0.83,Odd
3.62,7.4,11.02,-3.78,26.79,0.49,-1.00,0.02,3.32,2076.59,1.04,Even
5.9,1.14,7.04,4.76,6.73,5.18,0.69,0.73,2.65,131.60,0.85,Even
6.68,-2.74,3.94,9.42,-18.30,-2.44,-0.72,-0.70,1.98,15.35,0.60,Even
-9.68,-0.52,-10.20,-9.16,5.03,18.62,0.70,-0.71,-1.00,0.00,-1.00,Even
5.55,-6.01,-0.46,11.56,-33.36,-0.92,-0.44,0.90,-1.00,0.73,-1.00,Even
-2.03,4.16,2.13,-6.19,-8.44,-0.49,0.85,-0.53,1.46,4.38,0.33,Odd
0.25,2.24,2.49,-1.99,0.56,0.11,0.61,-0.80,1.58,5.62,0.40,Odd
-2.89,9.29,6.40,-12.18,-26.85,-0.31,0.12,0.99,2.53,84.45,0.81,Odd
7.54,-9.33,-1.79,16.87,-70.35,-0.81,-0.98,-0.22,-1.00,0.29,-1.00,Odd
9.29,-6.36,2.93,15.65,-59.08,-1.46,0.21,-0.98,1.71,7.62,0.47,Odd
4.1,-9.17,-5.07,13.27,-37.60,-0.45,0.94,0.35,-1.00,0.03,-1.00,Odd
2.19,1.75,3.94,0.44,3.83,1.25,-0.72,-0.70,1.98,15.35,0.60,Even
7.14,-8.1,-0.96,15.24,-57.83,-0.88,-0.82,0.57,-1.00,0.51,-1.00,Even
6.03,5.66,11.69,0.37,34.13,1.07,-0.77,0.64,3.42,3304.00,1.07,Even
2.81,-3.45,-0.64,6.26,-9.69,-0.81,-0.60,0.80,-1.00,0.64,-1.00,Even
-5.24,5.17,-0.07,-10.41,-27.09,-1.01,-0.07,1.00,-1.00,0.95,-1.00,Even
0.87,-5.42,-4.55,6.29,-4.72,-0.16,0.99,-0.16,-1.00,0.04,-1.00,Even
3.44,4.9,8.34,-1.46,16.86,0.70,0.88,-0.47,2.89,324.03,0.92,Odd
2.04,6.68,8.72,-4.64,13.63,0.31,0.65,-0.76,2.95,421.68,0.94,Odd
7.05,6.68,13.73,0.37,47.09,1.06,0.92,0.40,3.71,13587.57,1.14,Even
6.61,-7.29,-0.68,13.90,-48.19,-0.91,-0.63,0.78,-1.00,0.62,-1.00,Even
2.72,0.53,3.25,2.19,1.44,5.13,-0.11,-0.99,1.80,9.51,0.51,Even
-2.04,1.98,-0.06,-4.02,-4.04,-1.03,-0.06,1.00,-1.00,0.96,-1.00,Even
8.32,-0.48,7.84,8.80,-3.99,-17.33,1.00,0.01,2.80,229.13,0.89,Even
5.52,7.34,12.86,-1.82,40.52,0.75,0.29,0.96,3.59,7434.40,1.11,Odd
0.67,-1.95,-1.28,2.62,-1.31,-0.34,-0.96,0.29,-1.00,0.41,-1.00,Odd
-5.23,-0.49,-5.72,-4.74,2.56,10.67,0.53,0.85,-1.00,0.02,-1.00,Odd
-6.15,9.29,3.14,-15.44,-57.13,-0.66,0.00,-1.00,1.77,8.82,0.50,Even
5.08,-7.46,-2.38,12.54,-37.90,-0.68,-0.69,-0.72,-1.00,0.19,-1.00,Even
-4.81,-3.44,-8.25,-1.37,16.55,1.40,-0.92,-0.39,-1.00,0.00,-1.00,Even
0.59,-5.12,-4.53,5.71,-3.02,-0.12,0.98,-0.18,-1.00,0.04,-1.00,Even
-9.26,2.28,-6.98,-11.54,-21.11,-4.06,-0.64,0.77,-1.00,0.01,-1.00,Even
-8.77,4.81,-3.96,-13.58,-42.18,-1.82,0.73,-0.68,-1.00,0.06,-1.00,Odd
8.88,-1.74,7.14,10.62,-15.45,-5.10,0.76,0.65,2.67,141.04,0.85,Even
-1.2,4.65,3.45,-5.85,-5.58,-0.26,-0.30,-0.95,1.86,10.93,0.54,Even
2.84,-8.95,-6.11,11.79,-25.42,-0.32,0.17,0.99,-1.00,0.01,-1.00,Even
7.84,4.59,12.43,3.25,35.99,1.71,-0.14,0.99,3.53,5518.27,1.09,Odd
8.33,-4.73,3.60,13.06,-39.40,-1.76,-0.44,-0.90,1.90,12.13,0.56,Even
3.43,7.93,11.36,-4.50,27.20,0.43,-0.93,0.36,3.37,2628.46,1.06,Even
-5.43,-4.31,-9.74,-1.12,23.40,1.26,0.31,-0.95,-1.00,0.00,-1.00,Odd
-2.64,-7.71,-10.35,5.07,20.35,0.34,0.80,-0.60,-1.00,0.00,-1.00,Even
-0.53,6.73,6.20,-7.26,-3.57,-0.08,-0.08,1.00,2.49,73.52,0.79,Odd
-6.9,-6.08,-12.98,-0.82,41.95,1.13,-0.40,0.92,-1.00,0.00,-1.00,Even
2.15,6.47,8.62,-4.32,13.91,0.33,0.72,-0.69,2.94,393.44,0.94,Odd
1.78,-0.59,1.19,2.37,-1.05,-3.02,0.93,0.37,1.09,2.28,0.08,Even
-8.39,2.52,-5.87,-10.91,-21.14,-3.33,0.40,0.92,-1.00,0.02,-1.00,Odd
2.97,-2.05,0.92,5.02,-6.09,-1.45,0.80,0.61,0.96,1.89,-0.04,Odd
-2.93,-7.27,-10.20,4.34,21.30,0.40,0.70,-0.71,-1.00,0.00,-1.00,Even
-5.81,2.23,-3.58,-8.04,-12.96,-2.61,0.42,-0.91,-1.00,0.08,-1.00,Odd
-7.32,5.01,-2.31,-12.33,-36.67,-1.46,-0.74,-0.67,-1.00,0.20,-1.00,Even
-0.18,5.39,5.21,-5.57,-0.97,-0.03,-0.88,0.48,2.28,37.01,0.72,Even
6.67,-0.14,6.53,6.81,-0.93,-47.64,0.24,0.97,2.56,92.41,0.81,Odd
7.24,-7.68,-0.44,14.92,-55.60,-0.94,-0.43,0.90,-1.00,0.74,-1.00,Even
0.13,2.06,2.19,-1.93,0.27,0.06,0.81,-0.58,1.48,4.56,0.34,Odd
5.22,-6.24,-1.02,11.46,-32.57,-0.84,-0.85,0.52,-1.00,0.49,-1.00,Odd
7.42,4.23,11.65,3.19,31.39,1.75,-0.79,0.61,3.41,3213.66,1.07,Even
-6.54,-5.25,-11.79,-1.29,34.34,1.25,0.70,0.71,-1.00,0.00,-1.00,Odd
-8.24,-0.31,-8.55,-7.93,2.55,26.58,-0.77,-0.64,-1.00,0.00,-1.00,Even
0.92,1.01,1.93,-0.09,0.93,0.91,0.94,-0.35,1.39,3.81,0.29,Even
9.61,-9.73,-0.12,19.34,-93.51,-0.99,-0.12,0.99,-1.00,0.92,-1.00,Even
5.54,4.94,10.48,0.60,27.37,1.12,-0.87,-0.49,3.24,1428.22,1.02,Odd
5.95,-3,2.95,8.95,-17.85,-1.98,0.19,-0.98,1.72,7.73,0.47,Odd
-9.5,-7.6,-17.10,-1.90,72.20,1.25,0.98,-0.18,-1.00,0.00,-1.00,Odd
-3.27,-3.02,-6.29,-0.25,9.88,1.08,-0.01,1.00,-1.00,0.01,-1.00,Even
9.94,-8.25,1.69,18.19,-82.01,-1.20,0.99,-0.12,1.30,3.23,0.23,Even
-2.85,6.23,3.38,-9.08,-17.76,-0.46,-0.24,-0.97,1.84,10.41,0.53,Even
-2.02,-5.49,-7.51,3.47,11.09,0.37,-0.94,0.34,-1.00,0.01,-1.00,Odd
4.4,-5.1,-0.70,9.50,-22.44,-0.86,-0.64,0.76,-1.00,0.62,-1.00,Even
-9.99,7.08,-2.91,-17.07,-70.73,-1.41,-0.23,-0.97,-1.00,0.13,-1.00,Even
-9.7,-6.13,-15.83,-3.57,59.46,1.58,0.12,-0.99,-1.00,0.00,-1.00,Odd
-5.95,6.83,0.88,-12.78,-40.64,-0.87,0.77,0.64,0.94,1.84,-0.06,Odd
-6.69,5.83,-0.86,-12.52,-39.00,-1.15,-0.76,0.65,-1.00,0.55,-1.00,Even
-1.46,1.21,-0.25,-2.67,-1.77,-1.21,-0.25,0.97,-1.00,0.84,-1.00,Even
9.34,2.19,11.53,7.15,20.45,4.26,-0.86,0.51,3.40,2957.17,1.06,Even
0.86,-1.16,-0.30,2.02,-1.00,-0.74,-0.30,0.96,-1.00,0.81,-1.00,Even
1.55,-5.73,-4.18,7.28,-8.88,-0.27,0.86,-0.51,-1.00,0.06,-1.00,Even
-3.21,2.59,-0.62,-5.80,-8.31,-1.24,-0.58,0.81,-1.00,0.65,-1.00,Even
7.26,-3.62,3.64,10.88,-26.28,-2.01,-0.48,-0.88,1.91,12.47,0.56,Even
-4.13,2.64,-1.49,-6.77,-10.90,-1.56,-1.00,0.08,-1.00,0.36,-1.00,Odd
7.19,-3.34,3.85,10.53,-24.01,-2.15,-0.65,-0.76,1.96,14.42,0.59,Even
5.81,-7.51,-1.70,13.32,-43.63,-0.77,-0.99,-0.13,-1.00,0.31,-1.00,Odd
1.1,-8.95,-7.85,10.05,-9.85,-0.12,-1.00,0.00,-1.00,0.00,-1.00,Odd
-7.36,-9.61,-16.97,2.25,70.73,0.77,0.95,-0.30,-1.00,0.00,-1.00,Even
-2.46,-9.52,-11.98,7.06,23.42,0.26,0.55,0.83,-1.00,0.00,-1.00,Odd
-5.71,5.14,-0.57,-10.85,-29.35,-1.11,-0.54,0.84,-1.00,0.67,-1.00,Even
-7.14,0.75,-6.39,-7.89,-5.36,-9.52,-0.11,0.99,-1.00,0.01,-1.00,Even
0.07,-7.39,-7.32,7.46,-0.52,-0.01,-0.86,0.51,-1.00,0.01,-1.00,Odd
